"Campaign name","Ad Set Name",Ads,"Ad name",Objective,Day,Gender,Age,"Delivery status","Delivery level","Attribution setting","Result type",Results,Reach,Frequency,"Cost per result","Amount spent (USD)",Impressions,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all)","Landing page views","Content views","Website content views","Checkouts Initiated","Website checkouts initiated","Adds of payment info","Website adds of payment info","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)",Purchases,"Website purchases",Objective,"Reporting starts","Reporting ends"
"Dirty A/B testing","HumanCustumer Group B",AmitMyHome_PQ_V1,AmitMyHome_PQ_V1,LINK_CLICKS,2024-12-04,female,65+,not_delivering,ad,"7-day click or 1-day view",,,2,1,,0,2,0,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",JPWABRanChill_PQ_V1,JPWABRanChill_PQ_V1,LINK_CLICKS,2024-12-04,female,25-34,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0,1,0,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,unknown,65+,not_delivering,ad,"7-day click or 1-day view",,,7,1,,0.07,7,10,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",JPWABRanChill_PQ_V1,JPWABRanChill_PQ_V1,LINK_CLICKS,2024-12-04,female,45-54,not_delivering,ad,"7-day click or 1-day view",,,2,1,,0,2,0,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group A",AmitHomeRealLife_PQ_V1,AmitHomeRealLife_PQ_V1,LINK_CLICKS,2024-12-04,female,55-64,not_delivering,ad,"7-day click or 1-day view",,,3,1,,0.04,3,13.33333333,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group A",AmitHomeRealLife_PQ_V1,AmitHomeRealLife_PQ_V1,LINK_CLICKS,2024-12-04,male,65+,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0,1,0,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,male,55-64,not_delivering,ad,"7-day click or 1-day view","Link clicks",1,19,1,0.09,0.09,19,4.73684211,1,0.09,5.26315789,1,5.26315789,0.09,1,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,female,55-64,not_delivering,ad,"7-day click or 1-day view","Link clicks",2,240,1.07083333,0.445,0.89,257,3.46303502,2,0.445,0.77821012,2,0.77821012,0.445,2,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,unknown,55-64,not_delivering,ad,"7-day click or 1-day view","Link clicks",1,3,2,0.03,0.03,6,5,1,0.03,16.66666667,1,16.66666667,0.03,1,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,male,65+,not_delivering,ad,"7-day click or 1-day view","Link clicks",1,29,1.17241379,0.27,0.27,34,7.94117647,1,0.27,2.94117647,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,unknown,35-44,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0,1,0,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,male,45-54,not_delivering,ad,"7-day click or 1-day view",,,9,1,,0.03,9,3.33333333,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,female,25-34,not_delivering,ad,"7-day click or 1-day view",,,11,1,,0.01,11,0.90909091,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,female,65+,not_delivering,ad,"7-day click or 1-day view","Link clicks",13,350,1.08285714,0.17307692,2.25,379,5.93667546,13,0.17307692,3.43007916,13,3.43007916,0.17307692,14,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,female,45-54,not_delivering,ad,"7-day click or 1-day view",,,74,1.14864865,,0.24,85,2.82352941,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
